SeriesID,Industry,Metric,Source,Unit,Year,Period,PeriodName,Value,Footnotes
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M03,March,134,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M04,April,152,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M05,May,140,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M06,June,128,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M07,July,158,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M08,August,154,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M09,September,151,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M10,October,137,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M11,November,155,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2019,M12,December,134,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M01,January,137,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M02,February,156,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M03,March,162,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M04,April,104,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M05,May,114,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M06,June,137,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M07,July,129,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M08,August,144,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M09,September,162,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M10,October,155,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M11,November,137,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2020,M12,December,125,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M01,January,133,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M02,February,137,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M03,March,145,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M04,April,132,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M05,May,139,
JTS520000000000000HIL,Finance and Insurance,Hires,JOLTS,Level,2021,M06,June,142,
