Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-04-01,2015,4,Virginia,4.6,4232210.0,4039414.0
2015-04-01,2015,4,Washington,5.5,3533695.0,3340930.0
2015-04-01,2015,4,West Virginia,6.7,794714.0,741231.0
2015-04-01,2015,4,Wisconsin,4.6,3091466.0,2949987.0
2015-04-01,2015,4,Wyoming,4.0,301225.0,289115.0
2015-05-01,2015,5,Alabama,6.1,2174501.0,2040868.0
2015-05-01,2015,5,Alaska,6.3,361928.0,339207.0
2015-05-01,2015,5,Arizona,6.2,3106411.0,2914891.0
2015-05-01,2015,5,Arkansas,5.2,1334929.0,1265338.0
2015-05-01,2015,5,California,6.4,18852828.0,17643698.0
2015-05-01,2015,5,Colorado,3.9,2813611.0,2704756.0
2015-05-01,2015,5,Connecticut,5.7,1907097.0,1799142.0
2015-05-01,2015,5,Delaware,4.9,461075.0,438587.0
2015-05-01,2015,5,District of Columbia,7.0,380770.0,353993.0
2015-05-01,2015,5,Florida,5.6,9578842.0,9039337.0
2015-05-01,2015,5,Georgia,6.2,4735356.0,4443721.0
2015-05-01,2015,5,Hawaii,3.5,682114.0,658354.0
2015-05-01,2015,5,Idaho,4.0,797796.0,766262.0
2015-05-01,2015,5,Illinois,6.0,6551834.0,6158683.0
2015-05-01,2015,5,Indiana,4.8,3256839.0,3099232.0
2015-05-01,2015,5,Iowa,3.7,1704780.0,1641329.0
2015-05-01,2015,5,Kansas,4.3,1497110.0,1432655.0
2015-05-01,2015,5,Kentucky,5.3,1980575.0,1876487.0
2015-05-01,2015,5,Louisiana,6.4,2156254.0,2019193.0
2015-05-01,2015,5,Maine,4.5,690812.0,659760.0
2015-05-01,2015,5,Maryland,5.1,3169758.0,3006518.0
2015-05-01,2015,5,Massachusetts,4.9,3624724.0,3447680.0
2015-05-01,2015,5,Michigan,5.6,4769372.0,4502137.0
2015-05-01,2015,5,Minnesota,3.8,3017178.0,2902062.0
2015-05-01,2015,5,Mississippi,6.5,1259898.0,1178249.0
2015-05-01,2015,5,Missouri,5.3,3052454.0,2889427.0
2015-05-01,2015,5,Montana,4.2,520065.0,498101.0
2015-05-01,2015,5,Nebraska,3.0,1012908.0,982672.0
2015-05-01,2015,5,Nevada,7.0,1394779.0,1296756.0
2015-05-01,2015,5,New Hampshire,3.5,748830.0,722321.0
2015-05-01,2015,5,New Jersey,6.0,4600754.0,4324741.0
2015-05-01,2015,5,New Mexico,6.7,942410.0,879126.0
2015-05-01,2015,5,New York,5.4,9744552.0,9219213.0
2015-05-01,2015,5,North Carolina,5.8,4706315.0,4432283.0
2015-05-01,2015,5,North Dakota,2.8,412965.0,401458.0
2015-05-01,2015,5,Ohio,5.0,5726888.0,5440072.0
2015-05-01,2015,5,Oklahoma,4.3,1828834.0,1749307.0
2015-05-01,2015,5,Oregon,5.6,1968414.0,1858192.0
2015-05-01,2015,5,Pennsylvania,5.5,6468552.0,6113327.0
2015-05-01,2015,5,Rhode Island,6.2,566373.0,531461.0
2015-05-01,2015,5,South Carolina,6.1,2241910.0,2104903.0
2015-05-01,2015,5,South Dakota,3.1,449843.0,435854.0
2015-05-01,2015,5,Tennessee,5.7,3077173.0,2900641.0
2015-05-01,2015,5,Texas,4.4,13004689.0,12429664.0
2015-05-01,2015,5,Utah,3.5,1457187.0,1405887.0
2015-05-01,2015,5,Vermont,3.5,352438.0,340094.0
2015-05-01,2015,5,Virginia,4.5,4231145.0,4042017.0
2015-05-01,2015,5,Washington,5.4,3539458.0,3347069.0
2015-05-01,2015,5,West Virginia,6.8,794426.0,740604.0
2015-05-01,2015,5,Wisconsin,4.5,3091078.0,2951990.0
2015-05-01,2015,5,Wyoming,4.1,301027.0,288812.0
2015-06-01,2015,6,Alabama,6.1,2173391.0,2040000.0
2015-06-01,2015,6,Alaska,6.2,361540.0,338950.0
2015-06-01,2015,6,Arizona,6.1,3110554.0,2919814.0
2015-06-01,2015,6,Arkansas,5.1,1334831.0,1267143.0
2015-06-01,2015,6,California,6.3,18848420.0,17665593.0
2015-06-01,2015,6,Colorado,3.8,2815094.0,2709421.0
2015-06-01,2015,6,Connecticut,5.6,1903378.0,1797091.0
2015-06-01,2015,6,Delaware,4.8,461824.0,439535.0
2015-06-01,2015,6,District of Columbia,6.9,381214.0,354843.0
2015-06-01,2015,6,Florida,5.5,9586944.0,9055124.0
2015-06-01,2015,6,Georgia,6.1,4734169.0,4447025.0
2015-06-01,2015,6,Hawaii,3.4,682503.0,659330.0
2015-06-01,2015,6,Idaho,4.0,799382.0,767771.0
2015-06-01,2015,6,Illinois,6.0,6556268.0,6166066.0
2015-06-01,2015,6,Indiana,4.7,3261547.0,3107195.0
2015-06-01,2015,6,Iowa,3.7,1702889.0,1640132.0
2015-06-01,2015,6,Kansas,4.2,1496942.0,1433791.0
2015-06-01,2015,6,Kentucky,5.2,1978069.0,1874754.0
2015-06-01,2015,6,Louisiana,6.2,2150797.0,2016752.0
2015-06-01,2015,6,Maine,4.4,689522.0,659278.0
2015-06-01,2015,6,Maryland,5.1,3170663.0,3009469.0
2015-06-01,2015,6,Massachusetts,4.8,3621649.0,3447433.0
2015-06-01,2015,6,Michigan,5.5,4771847.0,4510140.0
2015-06-01,2015,6,Minnesota,3.8,3018332.0,2904003.0
